currTime,throughput
1061,114.043355
11060,367.450271
21060,351.329535
31061,326.357812
41065,320.394497
51060,317.685076
61061,314.881839
71061,313.195705
81063,311.350431
91064,309.529562
101066,308.966418
111066,307.879999
121071,312.585177
131067,319.226045
141068,324.694474
151068,329.262319
161067,333.910733
171067,337.902693
181068,341.507058
191068,344.547491
201069,347.179326
211069,349.335999
221069,351.817758
231068,354.289646
241072,356.453674
251068,358.253541
261073,359.765276
271072,360.372890
281069,361.879112
291071,363.162253
301073,364.483032
311070,365.731186
321074,366.283162
331070,367.058326
341070,367.883426
351070,368.624491
361073,369.598391
371070,370.428760
381070,371.031569
391075,371.767564
401070,372.628220
411074,373.098274
421073,373.474433
431073,373.899548
441077,374.596726
451074,375.109184
461075,375.721954
471077,376.212381
481077,376.760893
491074,377.271043
501077,377.656528
511075,377.926919
521079,378.368731
